feature,coef,std_err,z,p_value,odds_ratio,or_ci_lower,or_ci_upper
intercept,1.30167,0.58068,2.24164,0.02498,3.67543,1.17768,11.47074
org_is_first_launch,-1.20583,0.37664,-3.20153,0.00137,0.29944,0.14312,0.6265
is_multistage,1.11732,0.56235,1.98687,0.04694,3.05665,1.01522,9.20301
status_Active_cfg,0.98908,0.32613,3.03279,0.00242,2.68875,1.41888,5.09514
rocket_is_maiden_flight,-0.71852,0.1776,-4.0456,5e-05,0.48747,0.34417,0.69045
mission_data_missing,-0.61165,0.17918,-3.41362,0.00064,0.54245,0.3818,0.7707
has_strap_ons,0.47816,0.12499,3.82568,0.00013,1.6131,1.26261,2.06088
site_prior_successes,0.46527,0.11563,4.02385,6e-05,1.59245,1.26952,1.99752
Fairing_Diameter_m_cfg_missing,0.40525,0.17174,2.35962,0.01829,1.49967,1.07104,2.09984
org_prior_success_rate,0.28556,0.05924,4.8203,0.0,1.3305,1.18465,1.49432
org_prior_launches,0.25825,0.08561,3.0167,0.00256,1.29466,1.09468,1.53117
total_mass_kg,0.2325,0.08427,2.75879,0.0058,1.26175,1.06964,1.48836
Payload to GTO (kg)_cfg,-0.21567,0.06292,-3.42786,0.00061,0.806,0.71249,0.91178
fairing_slenderness,-0.21552,0.09434,-2.28457,0.02234,0.80612,0.67004,0.96985
Stages_cfg,-0.20921,0.05428,-3.85422,0.00012,0.81122,0.72935,0.90229
Launch Year,0.20568,0.06542,3.14378,0.00167,1.22836,1.08052,1.39641
rocket_prior_success_rate,0.16859,0.05177,3.25624,0.00113,1.18364,1.06942,1.31005
Launch Site Lon_loc,-0.15357,0.07308,-2.10132,0.03561,0.85764,0.74319,0.98973
