feature,mean_drop,std_drop,ci_lower,ci_upper,significant
Payload to GTO (kg)_cfg,0.0075,0.002,0.0067,0.0082,True
Company Country_USA_co,0.0018,0.0006,0.0015,0.002,True
Price_cfg_missing,0.0016,0.0003,0.0015,0.0017,True
total_mass_kg,0.0016,0.0009,0.0013,0.0019,True
total_payloads,0.0015,0.0009,0.0012,0.0018,True
launch_month,0.0013,0.0009,0.001,0.0016,True
Payload to LEO (kg)_cfg,0.0013,0.0008,0.001,0.0016,True
Fairing Diameter (m)_cfg,0.0011,0.0008,0.0008,0.0014,True
status_Active_cfg,0.0011,0.001,0.0007,0.0015,True
launch_hour,0.0011,0.0009,0.0008,0.0015,True
payload_per_thrust,0.0009,0.0006,0.0007,0.0012,True
rocket_slenderness,0.0009,0.0007,0.0006,0.0012,True
Liftoff Thrust (kN)_cfg,0.0009,0.0003,0.0008,0.001,True
Company Country_China_co,0.0009,0.0005,0.0007,0.0011,True
Price_cfg,0.0009,0.0007,0.0006,0.0011,True
Company Country_Japan_co,0.0008,0.0004,0.0007,0.0009,True
site_prior_success_rate,0.0008,0.0004,0.0007,0.001,True
Stages_cfg,0.0007,0.0005,0.0005,0.0009,True
Ownership_Private_co,0.0006,0.0007,0.0004,0.0009,True
Launch Site Lon_loc,0.0006,0.0008,0.0003,0.0009,True
fairing_slenderness,0.0006,0.0004,0.0004,0.0008,True
has_strap_ons,0.0006,0.0007,0.0004,0.0009,True
rocket_prior_launches,0.0006,0.0005,0.0004,0.0008,True
Rocket Height (m)_cfg,0.0005,0.0008,0.0003,0.0008,True
Launch Year,0.0005,0.0005,0.0003,0.0007,True
org_is_first_launch,0.0005,0.0003,0.0004,0.0006,True
Company Country_North Korea_co,0.0005,0.0003,0.0004,0.0006,True
Company Country_India_co,0.0005,0.0001,0.0005,0.0005,True
site_prior_successes,0.0005,0.0007,0.0003,0.0007,True
is_multi_payload,0.0003,0.0003,0.0002,0.0004,True
payload_utilisation,0.0003,0.0008,0.0,0.0006,True
mission_data_missing,0.0002,0.0004,0.0001,0.0004,True
rocket_is_maiden_flight,0.0002,0.0007,-0.0001,0.0004,False
mission_count,0.0001,0.0002,0.0,0.0002,True
Company Country_Brazil_co,0.0,0.0,0.0,0.0,False
Company Country_England_co,0.0,0.0,0.0,0.0,False
Company Country_Israel_co,0.0,0.0001,-0.0,0.0001,False
Company Country_France_co,0.0,0.0,0.0,0.0,False
Company Country_Germany_co,0.0,0.0001,-0.0,0.0,False
Company Country_Iran_co,0.0,0.0001,-0.0,0.0001,False
era_commercial,0.0,0.0,0.0,0.0,False
is_multistage,0.0,0.0,0.0,0.0,False
Fairing_Diameter_m_cfg_missing,-0.0,0.0002,-0.0001,0.0,False
Company Country_Italy_co,0.0,0.0,0.0,0.0,False
Rocket_Height_m_cfg_missing,0.0,0.0001,-0.0,0.0,False
Payload_to_LEO_kg_cfg_missing,0.0,0.0,0.0,0.0,False
org_prior_launches,0.0,0.0003,-0.0001,0.0001,False
Company Country_Multi_co,-0.0001,0.0004,-0.0002,0.0001,False
Company Country_Russia_co,-0.0001,0.0003,-0.0002,0.0,False
Liftoff_Thrust_kN_cfg_missing,-0.0002,0.0004,-0.0004,-0.0001,False
Launch Site Lat_loc,-0.0002,0.0005,-0.0003,-0.0,False
Fairing_Height_m_cfg_missing,-0.0003,0.0004,-0.0004,-0.0001,False
Payload_to_GTO_kg_cfg_missing,-0.0003,0.0003,-0.0004,-0.0002,False
Company Country_South Korea_co,-0.0004,0.0001,-0.0005,-0.0004,False
rocket_prior_success_rate,-0.0008,0.0006,-0.001,-0.0006,False
org_prior_success_rate,-0.0015,0.0007,-0.0018,-0.0013,False
