model,threshold,accuracy,precision,recall,f1,f2,mcc,auc_roc,auc_pr,TP,FP,TN,FN,run_id,smote_strategy,xgb_learning_rate,rf_n_estimators,rf_max_depth,ada_n_estimators,rus_n_estimators
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run000_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,5,100,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run000_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,5,100,200
RandomForest,0.3,0.9416376306620209,0.95013357079252,0.9897959183673469,0.9695592912312585,0.9816007359705612,0.31116116331987886,0.7275974025974027,0.9666627936898977,1067,56,14,11,run000_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,5,100,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run000_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,5,100,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run000_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,5,100,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run000_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,5,100,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run001_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,5,200,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run001_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,5,200,200
RandomForest,0.3,0.9416376306620209,0.95013357079252,0.9897959183673469,0.9695592912312585,0.9816007359705612,0.31116116331987886,0.7275974025974027,0.9666627936898977,1067,56,14,11,run001_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,5,200,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run001_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,5,200,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run001_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,5,200,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run001_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,5,200,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run002_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,10,100,200
