model,threshold,accuracy,precision,recall,f1,f2,mcc,auc_roc,auc_pr,TP,FP,TN,FN,run_id,cut_year,apply_smote,smote_strategy,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,ada_n_estimators,ada_learning_rate,rus_n_estimators,rus_learning_rate
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run000,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run000,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.9381533101045296,0.9412795793163892,0.9962894248608535,0.96800360522758,0.9847790207225381,0.1203262129623036,0.7056453750331301,0.9635557564292642,1074,67,3,4,run000,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.1
XGBoost,0.3,0.9329268292682927,0.9529411764705882,0.9768089053803339,0.9647274393037105,0.9719401882961048,0.2948284267721937,0.653167240922343,0.9595261138125399,1053,52,18,25,run000,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.1
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run000,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.1
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run000,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run001,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.2
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run001,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.2
RUSBoost,0.3,0.936411149825784,0.9498657117278424,0.9842300556586271,0.966742596810934,0.9771596979185854,0.27196401890444855,0.6848992843890804,0.9620388698017703,1061,56,14,17,run001,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.2
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run002,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,200,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run002,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,200,0.1
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run002,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,200,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run003,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,200,0.2
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run003,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,200,0.2
RUSBoost,0.3,0.936411149825784,0.9498657117278424,0.9842300556586271,0.966742596810934,0.9771596979185854,0.27196401890444855,0.6848992843890804,0.9620388698017703,1061,56,14,17,run003,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,200,0.2
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run004,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,300,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run004,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,300,0.1
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run004,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,300,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run005,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,300,0.2
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run005,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,300,0.2
RUSBoost,0.3,0.936411149825784,0.9498657117278424,0.9842300556586271,0.966742596810934,0.9771596979185854,0.27196401890444855,0.6848992843890804,0.9620388698017703,1061,56,14,17,run005,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,300,0.2
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run006,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,400,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run006,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,400,0.1
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run006,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,400,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run007,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,400,0.2
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run007,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,400,0.2
RUSBoost,0.3,0.936411149825784,0.9498657117278424,0.9842300556586271,0.966742596810934,0.9771596979185854,0.27196401890444855,0.6848992843890804,0.9620388698017703,1061,56,14,17,run007,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,400,0.2
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run008,2010,True,0.2,100,7,2,100,6,0.1,0.8,200,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run008,2010,True,0.2,100,7,2,100,6,0.1,0.8,200,0.1,100,0.1
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run008,2010,True,0.2,100,7,2,100,6,0.1,0.8,200,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run009,2010,True,0.2,100,7,2,100,6,0.1,0.8,300,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run009,2010,True,0.2,100,7,2,100,6,0.1,0.8,300,0.1,100,0.1
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run009,2010,True,0.2,100,7,2,100,6,0.1,0.8,300,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run010,2010,True,0.2,100,7,2,100,6,0.1,0.8,400,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run010,2010,True,0.2,100,7,2,100,6,0.1,0.8,400,0.1,100,0.1
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run010,2010,True,0.2,100,7,2,100,6,0.1,0.8,400,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run011,2010,True,0.2,100,10,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run011,2010,True,0.2,100,10,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.9390243902439024,0.9405594405594405,0.9981447124304267,0.9684968496849685,0.9860703812316716,0.10848985267611204,0.6854492446329181,0.9634611466345469,1076,68,2,2,run011,2010,True,0.2,100,10,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run012,2010,True,0.2,100,13,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run012,2010,True,0.2,100,13,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.9390243902439024,0.9397905759162304,0.9990723562152134,0.9685251798561151,0.9866251374129718,0.07664694070041267,0.6764179697853168,0.9592291054646216,1077,69,1,1,run012,2010,True,0.2,100,13,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run013,2010,True,0.2,200,7,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run013,2010,True,0.2,200,7,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.9372822299651568,0.9412280701754386,0.9953617810760668,0.9675383228133454,0.9840425531914894,0.10993587476152072,0.7073548900079512,0.9641969215353261,1073,67,3,5,run013,2010,True,0.2,200,7,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run014,2010,True,0.2,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run014,2010,True,0.2,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.9381533101045296,0.9405074365704287,0.9972170686456401,0.9680324178298064,0.9853345554537122,0.0937079243201325,0.6848794063079777,0.9627835530573418,1075,68,2,3,run014,2010,True,0.2,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run015,2010,True,0.2,200,13,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run015,2010,True,0.2,200,13,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.9390243902439024,0.9405594405594405,0.9981447124304267,0.9684968496849685,0.9860703812316716,0.10848985267611204,0.6717664988073153,0.9586511799632526,1076,68,2,2,run015,2010,True,0.2,200,13,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run016,2010,True,0.2,300,7,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run016,2010,True,0.2,300,7,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.9372822299651568,0.9412280701754386,0.9953617810760668,0.9675383228133454,0.9840425531914894,0.10993587476152072,0.7105221309302943,0.963741554696814,1073,67,3,5,run016,2010,True,0.2,300,7,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run017,2010,True,0.2,300,10,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run017,2010,True,0.2,300,10,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.936411149825784,0.9396325459317585,0.9962894248608535,0.9671319225574065,0.9844179651695693,0.038426990548543545,0.682454280413464,0.9626064346145142,1074,69,1,4,run017,2010,True,0.2,300,10,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run018,2010,True,0.2,300,13,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run018,2010,True,0.2,300,13,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.9390243902439024,0.9397905759162304,0.9990723562152134,0.9685251798561151,0.9866251374129718,0.07664694070041267,0.669010071561092,0.9579672662381826,1077,69,1,1,run018,2010,True,0.2,300,13,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run019,2010,True,0.2,400,7,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run019,2010,True,0.2,400,7,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.9372822299651568,0.9412280701754386,0.9953617810760668,0.9675383228133454,0.9840425531914894,0.10993587476152072,0.7189371852637159,0.9647218989098281,1073,67,3,5,run019,2010,True,0.2,400,7,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run020,2010,True,0.2,400,10,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run020,2010,True,0.2,400,10,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.9372822299651568,0.9396853146853147,0.9972170686456401,0.9675967596759676,0.9851539589442815,0.046710908791103796,0.6783196395441293,0.9616341925852345,1075,69,1,3,run020,2010,True,0.2,400,10,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run021,2010,True,0.2,400,13,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run021,2010,True,0.2,400,13,2,100,6,0.1,0.8,100,0.1,100,0.1
