model,threshold,accuracy,precision,recall,f1,f2,mcc,auc_roc,auc_pr,TP,FP,TN,FN,run_id,cut_year,apply_smote,smote_strategy,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,ada_n_estimators,ada_learning_rate,rus_n_estimators,rus_learning_rate,logit_C,logit_penalty
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run000,2010,True,0.3,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1,1.0,l2
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run000,2010,True,0.3,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1,1.0,l2
RandomForest,0.3,0.936411149825784,0.9388646288209607,0.9972170686456401,0.967161493477283,0.984973428623786,-0.01304360154691106,0.7191492181288099,0.964632446880328,1075,70,0,3,run000,2010,True,0.3,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1,1.0,l2
XGBoost,0.3,0.9407665505226481,0.954954954954955,0.9833024118738405,0.9689213893967094,0.9774990778310586,0.359819213372454,0.6615690432016963,0.95540023024329,1060,50,20,18,run000,2010,True,0.3,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1,1.0,l2
AdaBoost,0.3,0.9181184668989547,0.9598130841121495,0.9526901669758813,0.9562383612662942,0.9541062801932367,0.32177720798396325,0.7057050092764379,0.9646816323250359,1027,43,27,51,run000,2010,True,0.3,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1,1.0,l2
RUSBoost,0.3,0.9303135888501742,0.9503610108303249,0.9768089053803339,0.9634034766697164,0.9714022140221402,0.24934862866834048,0.685164325470448,0.9623796729759913,1053,55,15,25,run000,2010,True,0.3,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1,1.0,l2
Logit,0.3,0.9398954703832753,0.9406113537117904,0.9990723562152134,0.9689608636977058,0.9868059373282023,0.12956644203264986,0.7302676914921813,0.9715376139105933,1077,68,2,1,run000,2010,True,0.3,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1,1.0,l2
Baseline_Majority,0.5,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run001,2010,True,0.3,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1,1.0,l2
Baseline_PriorRate,0.5,0.8501742160278746,0.9364161849710982,0.9016697588126159,0.9187145557655955,0.908411214953271,-0.03348324883351259,0.5,0.9390243902439024,972,66,4,106,run001,2010,True,0.3,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1,1.0,l2
RandomForest,0.5,0.9477351916376306,0.9552772808586762,0.9907235621521335,0.9726775956284153,0.9834254143646409,0.41464303484738657,0.7191492181288099,0.964632446880328,1068,50,20,10,run001,2010,True,0.3,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1,1.0,l2
XGBoost,0.5,0.9085365853658537,0.9611374407582939,0.9406307977736549,0.9507735583684951,0.9446618222470654,0.3112554045819216,0.6615690432016963,0.95540023024329,1014,41,29,64,run001,2010,True,0.3,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1,1.0,l2
AdaBoost,0.5,0.8937282229965157,0.9596153846153846,0.9257884972170687,0.9423984891406988,0.9323617339312407,0.2670334085968295,0.7057050092764379,0.9646816323250359,998,42,28,80,run001,2010,True,0.3,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1,1.0,l2
RUSBoost,0.5,0.8858885017421603,0.957487922705314,0.9192949907235621,0.9380028395646001,0.9266878623527212,0.23352277083457149,0.685164325470448,0.9623796729759913,991,44,26,87,run001,2010,True,0.3,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1,1.0,l2
Logit,0.5,0.9372822299651568,0.9427816901408451,0.9935064935064936,0.967479674796748,0.9829295154185022,0.15277696943616262,0.7302676914921813,0.9715376139105933,1071,65,5,7,run001,2010,True,0.3,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1,1.0,l2
