model,threshold,accuracy,precision,recall,f1,f2,mcc,auc_roc,auc_pr,TP,FP,TN,FN,run_id,cut_year,apply_smote,smote_strategy,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,ada_n_estimators,ada_learning_rate,rus_n_estimators,rus_learning_rate,logit_C,logit_penalty,svm_C,svm_kernel,svm_gamma,mlp_hidden_layer_sizes,mlp_alpha,mlp_learning_rate_init,mlp_activation
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run000,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run000,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.3,0.9381533101045296,0.9412795793163892,0.9962894248608535,0.96800360522758,0.9847790207225381,0.1203262129623036,0.7056453750331301,0.9635557564292642,1074,67,3,4,run000,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.936411149825784,0.9506726457399103,0.9833024118738405,0.9667122663018696,0.9765984890363,0.28295986485952346,0.6288497217068646,0.9532429715565871,1060,55,15,18,run000,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run000,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run000,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
Logit,0.3,0.9381533101045296,0.9412795793163892,0.9962894248608535,0.96800360522758,0.9847790207225381,0.1203262129623036,0.6958189769414259,0.9616569531233292,1074,67,3,4,run000,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
SVM,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.6788232175987278,0.9634685553674655,1078,70,0,0,run000,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
MLP,0.3,0.926829268292683,0.9382716049382716,0.987012987012987,0.9620253164556962,0.9768637532133676,-0.028313732857645862,0.6739862178637689,0.9637955618759957,1064,70,0,14,run000,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
MLP,0.3,0.8658536585365854,0.94,0.9155844155844156,0.9276315789473685,0.9203655352480418,0.013345696185626109,0.6028756957328385,0.959423603044304,987,63,7,91,run001,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.01,relu
