,RandomForest,XGBoost,mean_across_models
Launch Year,0.03310395437692266,0.8850622889074785,0.4590831216422006
launch_hour,0.016025637366363553,0.4296279717142921,0.22282680454032783
site_prior_successes,0.01639862013437485,0.4150554270431327,0.21572702358875379
Price_cfg_missing,0.025876861428035736,0.3412998549547911,0.18358835819141342
Fairing Diameter (m)_cfg,0.007388490087821364,0.29284353633256016,0.15011601321019077
rocket_prior_success_rate,0.010749688551551558,0.2323390439567208,0.12154436625413619
launch_month,0.005708920246595425,0.232104591519367,0.1189067558829812
site_prior_success_rate,0.006411816915270626,0.1966777051727709,0.10154476104402076
Payload to GTO (kg)_cfg,0.006303188433075412,0.1783712984074905,0.09233724342028296
org_prior_success_rate,0.011756789918089648,0.16105659901542643,0.08640669446675804
org_prior_launches,0.005986544281736252,0.16638512307863498,0.08618583368018562
rocket_prior_launches,0.008061546674073102,0.1437987251256387,0.07593013589985591
Launch Site Lon_loc,0.0049788693914532235,0.13672003716501982,0.07084945327823652
total_mass_kg,0.007300120849983027,0.13391591492890384,0.07060801788944343
payload_utilisation,0.005583108169077921,0.10370389668234098,0.05464350242570945
Price_cfg,0.009257304704797922,0.09713800401453858,0.05319765435966825
era_commercial,0.008658741508137483,0.09538761179210455,0.05202317665012102
Stages_cfg,0.0041730532256818095,0.0994298946287036,0.0518014739271927
has_strap_ons,0.006331708715950516,0.09128847056371589,0.0488100896398332
Liftoff Thrust (kN)_cfg,0.005349790565281133,0.08613504961492578,0.04574242009010346
rocket_slenderness,0.004187681875866907,0.07229948390983564,0.03824358289285127
Rocket Height (m)_cfg,0.004701560849468192,0.05540320984742775,0.03005238534844797
Payload to LEO (kg)_cfg,0.0036463151135440854,0.054906999150911774,0.02927665713222793
mission_data_missing,0.0024162822441238224,0.053910221024865194,0.02816325163449451
Launch Site Lat_loc,0.0037816720749757277,0.04968843766443022,0.026735054869702974
is_multi_payload,0.0007739606792233658,0.04747665858589232,0.024125309632557844
rocket_is_maiden_flight,0.010971440610941664,0.036328358737899386,0.023649899674420525
fairing_slenderness,0.0032286946774354587,0.039011103879850136,0.021119899278642797
total_payloads,0.001973684025181427,0.03628904050299702,0.019131362264089225
Company Country_USA_co,0.001269931218058959,0.03397263571160671,0.017621283464832837
payload_per_thrust,0.005180477693739513,0.03000419693834585,0.01759233731604268
status_Active_cfg,0.0028692895036727477,0.024864989582946303,0.013867139543309525
Company Country_Russia_co,0.003832650704872914,0.022311922689544714,0.013072286697208814
mission_count,0.001973474422948704,0.02334980093765363,0.012661637680301166
Ownership_Private_co,0.001111492543040575,0.02322771538435829,0.012169603963699434
Rocket_Height_m_cfg_missing,0.000765558776102219,0.0161271353642072,0.00844634707015471
Company Country_China_co,0.0004171078595591329,0.011433523986369844,0.005925315922964488
Payload_to_GTO_kg_cfg_missing,0.0010879858134979555,0.01008376054393012,0.005585873178714038
Fairing_Diameter_m_cfg_missing,0.002350630367099384,0.00782902025078306,0.0050898253089412225
Company Country_Multi_co,0.0005950498073118004,0.00819915893287485,0.0043971043700933255
Fairing_Height_m_cfg_missing,0.0015615528533958695,0.007086012879888293,0.004323782866642081
Payload_to_LEO_kg_cfg_missing,0.0004027792794922811,0.0010947901182982614,0.0007487846988952713
Company Country_Japan_co,7.078436750088029e-05,0.0008980042639933527,0.00048439431574711647
Liftoff_Thrust_kN_cfg_missing,0.0004129079848281236,0.0004948487124976238,0.0004538783486628737
org_is_first_launch,7.489174655527506e-05,0.0,3.744587327763753e-05
Company Country_India_co,4.732035228704377e-05,0.0,2.3660176143521885e-05
is_multistage,3.433445796619263e-05,4.063272476196289e-06,1.919886522119446e-05
Company Country_Germany_co,4.724817561682357e-06,0.0,2.3624087808411784e-06
Company Country_Israel_co,3.8403478802001695e-06,0.0,1.9201739401000847e-06
Company Country_Iran_co,2.6154639953165317e-06,0.0,1.3077319976582658e-06
Company Country_South Korea_co,1.4174581386032513e-06,0.0,7.087290693016257e-07
Company Country_North Korea_co,2.8129638748850993e-07,0.0,1.4064819374425496e-07
Company Country_Italy_co,0.0,0.0,0.0
Company Country_Brazil_co,0.0,0.0,0.0
Company Country_England_co,0.0,0.0,0.0
Company Country_France_co,0.0,0.0,0.0
