,RandomForest,XGBoost,mean_across_models
Launch Year,0.03567309410570971,0.7927022050431664,0.41418764957443804
launch_hour,0.021297772942253983,0.4035469724644866,0.2124223727033703
site_prior_successes,0.02050816842385151,0.40230195394214346,0.21140506118299748
Price_cfg_missing,0.03377537838437416,0.32780308151323906,0.1807892299488066
launch_month,0.0069979599169148025,0.22445882466940928,0.11572839229316204
Fairing Diameter (m)_cfg,0.0058511884979548165,0.20999899162050562,0.10792509005923022
rocket_prior_success_rate,0.013358225957790466,0.18721287387148236,0.10028554991463641
Payload to GTO (kg)_cfg,0.006227793642051021,0.16619266274709582,0.08621022819457343
site_prior_success_rate,0.004001293158931785,0.14481603157291845,0.07440866236592511
org_prior_success_rate,0.015555164382130117,0.1257122872098436,0.07063372579598685
era_commercial,0.009813322582158187,0.12075524482469521,0.0652842837034267
total_mass_kg,0.007602975192330291,0.11520830046221327,0.06140563782727178
Price_cfg,0.00689953468991582,0.1106212482994329,0.05876039149467436
rocket_prior_launches,0.007233766226005978,0.10938184032379476,0.05830780327490037
payload_utilisation,0.006043622395136858,0.10326674879749775,0.0546551855963173
org_prior_launches,0.005767858438106687,0.10345579096505299,0.05461182470157984
Launch Site Lon_loc,0.004575236032807596,0.09819785880558946,0.05138654741919853
Stages_cfg,0.00555230448348883,0.08879614283782088,0.04717422366065485
is_multi_payload,0.001001264358886119,0.06843173908977764,0.034716501724331876
rocket_slenderness,0.005323360138415577,0.06254556814793474,0.033934464143175164
has_strap_ons,0.00830960458790086,0.05823888747498395,0.033274246031442405
Launch Site Lat_loc,0.004110978271409157,0.05371966515012898,0.02891532171076907
Liftoff Thrust (kN)_cfg,0.0042362507152939495,0.04590797524813209,0.025072112981713017
rocket_is_maiden_flight,0.005387537335504657,0.04446273336007899,0.024925135347791824
total_payloads,0.0012445984721059433,0.044976927311534486,0.023110762891820215
fairing_slenderness,0.004089885650373898,0.040080025913761946,0.02208495578206792
mission_data_missing,0.0011675390131181747,0.041064674059255075,0.021116106536186625
Company Country_USA_co,0.0008412905009739821,0.03789906440873865,0.019370177454856315
Rocket Height (m)_cfg,0.0030557915688925194,0.03366043247095253,0.018358112019922525
Payload to LEO (kg)_cfg,0.003434591254706384,0.03137871349005263,0.017406652372379507
payload_per_thrust,0.0030108665247485437,0.03078797403567119,0.016899420280209868
Ownership_Private_co,0.001412123462813676,0.031136878874209663,0.01627450116851167
mission_count,0.001410519938884232,0.02950509737619258,0.015457808657538407
status_Active_cfg,0.004422402874409142,0.01674668109221384,0.01058454198331149
Company Country_Russia_co,0.003473672585752749,0.015533166018701163,0.009503419302226956
Company Country_Multi_co,0.0003655420719640378,0.014299723660044837,0.007332632866004437
Fairing_Diameter_m_cfg_missing,0.0013586035480874878,0.008496307488875471,0.00492745551848148
Rocket_Height_m_cfg_missing,0.0005665523217545691,0.00683064039035002,0.0036985963560522946
Fairing_Height_m_cfg_missing,0.0020365871660047836,0.0051154140730854105,0.003576000619545097
Payload_to_GTO_kg_cfg_missing,0.0007646653852017031,0.00562366042234237,0.0031941629037720368
Payload_to_LEO_kg_cfg_missing,0.0004476271579777287,0.005372976459211205,0.002910301808594467
Company Country_Japan_co,6.0420145904170115e-05,0.001501047997586429,0.0007807340717452995
Company Country_China_co,0.0007659085508775427,0.0003373644711542885,0.0005516365110159157
Liftoff_Thrust_kN_cfg_missing,0.0004105327673413261,0.00042420796258840407,0.0004173703649648651
Company Country_India_co,4.858109996060648e-05,0.0,2.429054998030324e-05
org_is_first_launch,1.9351023435569916e-05,0.0,9.675511717784958e-06
is_multistage,1.0286106995408789e-05,0.0,5.143053497704394e-06
Company Country_Israel_co,6.680200971770773e-06,0.0,3.3401004858853866e-06
Company Country_Germany_co,2.975542249914724e-06,0.0,1.487771124957362e-06
Company Country_Iran_co,1.531164796033409e-06,0.0,7.655823980167045e-07
Company Country_South Korea_co,0.0,0.0,0.0
Company Country_North Korea_co,0.0,0.0,0.0
Company Country_England_co,0.0,0.0,0.0
Company Country_Brazil_co,0.0,0.0,0.0
Company Country_Italy_co,0.0,0.0,0.0
Company Country_France_co,0.0,0.0,0.0
