,RandomForest,Logit,XGBoost,RUSBoost,AdaBoost,mean_across_models
Launch Year,0.03567309410570971,0.10346351286915323,0.7927022050431664,5.50092879384229e-06,1.7962618603353995e-05,0.18637245511308528
site_prior_successes,0.02050816842385151,0.035061002798485695,0.40230195394214346,0.0898214622962341,0.08510227106443656,0.12655897170503028
launch_hour,0.021297772942253983,0.04621225653320904,0.4035469724644866,4.123854736807217e-06,8.514248494050735e-06,0.09421392800863611
Price_cfg_missing,0.03377537838437416,0.023231409851063027,0.32780308151323906,6.996928156792613e-06,0.010191838281799415,0.0790017409917265
org_prior_success_rate,0.015555164382130117,0.01585259050636997,0.1257122872098436,0.06918717710967147,0.08522894744917256,0.06230723333143755
rocket_prior_success_rate,0.013358225957790466,0.004491740757362771,0.18721287387148236,0.02962280249715179,0.03338922919895976,0.05361497445654943
launch_month,0.0069979599169148025,0.02404508872776506,0.22445882466940928,7.850428822348917e-06,1.9166743592720766e-05,0.05110577809730084
Fairing Diameter (m)_cfg,0.0058511884979548165,0.037392182832851374,0.20999899162050562,1.2290440249140848e-05,9.498952843084392e-06,0.050652830468880805
Payload to GTO (kg)_cfg,0.006227793642051021,0.06011793804622632,0.16619266274709582,6.871760527299603e-06,1.2483566518009139e-05,0.046511549952483695
site_prior_success_rate,0.004001293158931785,0.0009478131091600347,0.14481603157291845,6.515535924307228e-06,0.010872129056642905,0.032128756486715496
era_commercial,0.009813322582158187,0.0,0.12075524482469521,6.853036354963388e-06,1.2683409252850952e-05,0.026117620770492244
Price_cfg,0.00689953468991582,0.012332014417496052,0.1106212482994329,6.96624617397804e-06,1.572184563024926e-05,0.0259750970997298
total_mass_kg,0.007602975192330291,0.0014504827987635767,0.11520830046221327,8.161138892766075e-06,0.002888846715203265,0.025431753261480634
rocket_prior_launches,0.007233766226005978,0.004476833535066144,0.10938184032379476,4.111888795334539e-06,1.191256734084777e-05,0.02422169290820061
Launch Site Lon_loc,0.004575236032807596,0.017823791553352265,0.09819785880558946,1.7165729978327088e-06,9.94082935675623e-06,0.02412170875882078
payload_utilisation,0.006043622395136858,0.00756820530924467,0.10326674879749775,1.7520309619525625e-06,1.1940274825379668e-05,0.023378453761533323
org_prior_launches,0.005767858438106687,0.000611349370512758,0.10345579096505299,4.868174525432787e-06,1.3105035084952117e-05,0.02197059439665656
Stages_cfg,0.00555230448348883,0.00532879499603001,0.08879614283782088,6.842818764949607e-06,1.951353509359904e-05,0.01994071973423965
status_Active_cfg,0.004422402874409142,0.06815131943842656,0.01674668109221384,1.1194649375693426e-05,2.2756681112460012e-05,0.01787087094710754
rocket_slenderness,0.005323360138415577,0.01366663277769117,0.06254556814793474,1.017656361667185e-05,1.2120939201365647e-05,0.016311571713371904
rocket_is_maiden_flight,0.005387537335504657,0.00736704402895819,0.04446273336007899,6.312254414893957e-06,0.018362593600472474,0.015117244115885841
has_strap_ons,0.00830960458790086,0.00897020289287398,0.05823888747498395,3.6528274112380396e-06,9.595921265248296e-06,0.015106388740887055
is_multi_payload,0.001001264358886119,0.0,0.06843173908977764,8.22033775132844e-06,1.3312170058781958e-05,0.013890907191294774
Rocket Height (m)_cfg,0.0030557915688925194,0.023626035970266038,0.03366043247095253,8.19179268777827e-06,1.3039886690526973e-05,0.01207269833789788
Launch Site Lat_loc,0.004110978271409157,0.0007683293064566034,0.05371966515012898,4.655480895651896e-06,5.644589136288457e-06,0.011721854559605335
Liftoff Thrust (kN)_cfg,0.0042362507152939495,4.3789529259696924e-05,0.04590797524813209,9.022554857391725e-06,4.917534067218766e-06,0.01004039111632207
mission_data_missing,0.0011675390131181747,0.005718872971575063,0.041064674059255075,2.6102760029010815e-06,8.604255610247625e-06,0.009592460115112294
Company Country_USA_co,0.0008412905009739821,0.008173632878200202,0.03789906440873865,7.631046521876133e-06,9.647906070293253e-06,0.009386253348101002
total_payloads,0.0012445984721059433,0.0,0.044976927311534486,7.730579220378706e-06,8.676005328954173e-06,0.009247586473637952
fairing_slenderness,0.004089885650373898,6.662402216404971e-05,0.040080025913761946,1.1059299567630092e-05,1.6185411101248107e-05,0.008852756059393754
Payload to LEO (kg)_cfg,0.003434591254706384,0.0048943466896996125,0.03137871349005263,5.055528258764906e-06,1.91938840846779e-05,0.007946380169360416
